pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
ST,2024-06-28,81.6,1.62,5.14,"O'Neill, Tyler",641933,656354,strikeout,swinging_strike,13.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,S,2.0,,2,2,-1.61,0.18,-0.09,1.13,,,,1,8,Bot,,,543309,,-0.7391868793312,-118.798697202508,-2.74729838883174,-15.0210839938519,24.533193596983,-30.1466100598862,3.28,1.53,,,,81.5,2630.0,6.4,746939,650333,630105,592518,673490,642180,701538,669369,54.11,,0.0,0.0,1.0,0.0,0.0,,71,5,2,9,2,9,9,2,2,9,Standard,Standard,287.0,-0.001,-0.143,75.4932381119342,8.8152
ST,2024-06-28,81.6,1.62,5.13,"O'Neill, Tyler",641933,656354,,ball,13.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,B,,,1,2,-1.57,0.2,-1.06,0.84,,,,1,8,Bot,,,543309,,-3.01664023539179,-118.77217281021,-3.41843087526502,-14.1891309404225,23.4739938296008,-29.8364568968057,3.23,1.44,,,,81.5,2645.0,6.2,746939,650333,630105,592518,673490,642180,701538,669369,54.25,,,,,,,,71,4,2,9,2,9,9,2,2,9,Standard,Standard,282.0,0.0,0.024,,
SI,2024-06-28,92.3,1.39,5.43,"O'Neill, Tyler",641933,656354,,ball,12.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,B,,,0,2,1.05,0.73,0.31,3.85,,,,1,8,Bot,,,543309,,-5.0497404076859,-134.382547293685,0.158043146054125,13.777094154628,26.8667041458511,-23.505828452996,3.29,1.47,,,,92.9,2360.0,6.4,746939,650333,630105,592518,673490,642180,701538,669369,54.08,,,,,,,,71,3,2,9,2,9,9,2,2,9,Infield shade,Standard,137.0,0.0,0.016,,
FC,2024-06-28,89.5,1.49,5.34,"O'Neill, Tyler",641933,656354,,foul,4.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,S,,,0,1,-0.4,0.69,-0.59,2.49,,,,1,8,Bot,,,543309,,-4.28213610450187,-130.477477461134,-2.60394620661777,-3.94732154642721,22.1692839362368,-23.8534092531254,3.28,1.53,350.0,112.3,48.0,90.1,2696.0,6.1,746939,650333,630105,592518,673490,642180,701538,669369,54.35,,,,,,,,71,2,2,9,2,9,9,2,2,9,Standard,Standard,171.0,0.0,-0.036,82.0032734320709,8.03383
ST,2024-06-28,80.4,1.6,5.18,"O'Neill, Tyler",641933,656354,,called_strike,2.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,S,,,0,0,-1.24,0.63,-0.21,2.75,,,,1,8,Bot,,,543309,,-1.65503370984155,-117.185388995874,-0.0121658147699882,-11.3115738793313,19.0322657255249,-26.4639108798566,3.22,1.4,,,,81.0,2570.0,6.3,746939,650333,630105,592518,673490,642180,701538,669369,54.22,,,,,,,,71,1,2,9,2,9,9,2,2,9,Standard,Standard,277.0,0.0,-0.024,,
FC,2024-06-28,88.3,1.46,5.25,"Gonzalez, Romy",663853,656354,field_out,hit_into_play,11.0,Romy Gonzalez pops out softly to first baseman Luis Arraez.,R,L,BOS,SD,X,3.0,popup,3,1,-0.33,0.66,-1.04,3.01,,,,0,8,Bot,136.96,170.96,543309,,-5.41905460666099,-128.745552868059,-0.843442910354084,-2.79234372976123,22.3402369648547,-24.7926714437792,3.52,1.71,83.0,56.9,70.0,89.1,2688.0,6.3,746939,650333,630105,592518,673490,642180,701538,669369,54.18,0.001,0.0,0.0,1.0,0.0,0.0,1.0,70,5,2,9,2,9,9,2,2,9,Standard,Standard,168.0,-0.002,-0.375,73.279846180386,6.54927
FC,2024-06-28,88.8,1.61,5.23,"Gonzalez, Romy",663853,656354,,ball,14.0,Romy Gonzalez pops out softly to first baseman Luis Arraez.,R,L,BOS,SD,B,,,2,1,-0.34,0.54,0.41,1.33,,,,0,8,Bot,,,543309,,-2.25020507564376,-129.460631496903,-4.72219274811684,-3.45396974855995,23.1707437199951,-25.3806523157549,3.58,1.8,,,,89.3,2685.0,6.2,746939,650333,630105,592518,673490,642180,701538,669369,54.34,,,,,,,,70,4,2,9,2,9,9,2,2,9,Standard,Standard,182.0,0.0,0.111,,
SI,2024-06-28,92.5,1.29,5.23,"Gonzalez, Romy",663853,656354,,ball,13.0,Romy Gonzalez pops out softly to first baseman Luis Arraez.,R,L,BOS,SD,B,,,1,1,1.15,0.49,-1.7,1.74,,,,0,8,Bot,,,543309,,-10.1442001074169,-134.346073928124,-4.18541151107205,15.9822453876341,26.5809000916586,-25.5581053138247,3.62,1.84,,,,93.1,2329.0,6.5,746939,650333,630105,592518,673490,642180,701538,669369,53.97,,,,,,,,70,3,2,9,2,9,9,2,2,9,Standard,Standard,136.0,0.0,0.048,,
ST,2024-06-28,81.1,1.7,5.11,"Gonzalez, Romy",663853,656354,,called_strike,5.0,Romy Gonzalez pops out softly to first baseman Luis Arraez.,R,L,BOS,SD,S,,,1,0,-1.24,0.67,-0.16,2.46,,,,0,8,Bot,,,543309,,-1.78987501066384,-118.240478008836,-0.659541145609829,-11.3524426331299,20.653956231842,-25.9675737711602,3.61,1.79,,,,81.3,2603.0,6.2,746939,650333,630105,592518,673490,642180,701538,669369,54.35,,,,,,,,70,2,2,9,2,9,9,2,2,9,Standard,Standard,279.0,0.0,-0.044,,
FC,2024-06-28,89.0,1.49,5.23,"Gonzalez, Romy",663853,656354,,ball,13.0,Romy Gonzalez pops out softly to first baseman Luis Arraez.,R,L,BOS,SD,B,,,0,0,0.0,0.98,-1.08,0.98,,,,0,8,Bot,,,543309,,-6.29226057513237,-129.518590883002,-6.55609525166987,1.05944413366577,21.472328027435,-19.9870475877368,3.58,1.7,,,,89.6,2569.0,6.2,746939,650333,630105,592518,673490,642180,701538,669369,54.3,,,,,,,,70,1,2,9,2,9,9,2,2,9,Standard,Standard,143.0,0.0,0.032,,
ST,2024-06-29,81.3,1.57,5.19,"O'Neill, Tyler",641933,656354,strikeout,swinging_strike,13.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,S,2.0,,1,2,-1.62,0.04,-0.92,1.9,,,663853.0,2,8,Bot,,,664954,,-2.48213779837513,-118.378752825958,-0.760840928333665,-14.5732621175567,25.6568424790766,-31.8858991575507,3.25,1.48,,,,80.9,2718.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.18,,0.0,0.0,1.0,0.0,0.0,,73,4,1,11,1,11,11,1,1,11,Standard,Standard,316.0,0.0,-0.167,80.5903247079824,8.32039
SI,2024-06-29,94.5,1.36,5.32,"O'Neill, Tyler",641933,656354,,ball,13.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,B,,,0,2,1.08,0.5,-1.0,2.01,,,663853.0,2,8,Bot,,,664954,,-8.55255024966085,-137.428124732657,-4.10169436877831,15.5213051019138,26.8106415071514,-25.1319490551337,3.22,1.56,,,,95.0,2430.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.15,,,,,,,,73,3,1,11,1,11,11,1,1,11,Standard,Standard,135.0,0.0,0.026,,
SI,2024-06-29,94.8,1.27,5.27,"O'Neill, Tyler",641933,656354,,called_strike,4.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,S,,,0,1,1.3,0.7,-0.72,2.28,,,663853.0,2,8,Bot,,,664954,,-8.10189173773535,-137.895287886869,-3.79417423813367,18.2924627599775,27.6413458093066,-22.5172779576077,3.2,1.55,,,,95.2,2538.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.18,,,,,,,,73,2,1,11,1,11,11,1,1,11,Standard,Standard,134.0,0.0,-0.045,,
ST,2024-06-29,81.4,1.58,5.25,"O'Neill, Tyler",641933,656354,,foul,11.0,Tyler O'Neill strikes out swinging.,R,L,BOS,SD,S,,,0,0,-1.35,0.31,-1.11,2.69,,,663853.0,2,8,Bot,,,664954,,-3.44438378489521,-118.647861473041,0.227296404267644,-12.1925929501475,21.6785017323391,-29.5302473866393,3.25,1.48,9.0,61.7,-17.0,81.7,2645.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.23,,,,,,,,73,1,1,11,1,11,11,1,1,11,Standard,Standard,282.0,0.0,-0.042,73.0466195061188,7.43102
ST,2024-06-29,81.7,1.54,5.1,"Abreu, Wilyer",677800,656354,strikeout,swinging_strike,13.0,Wilyer Abreu strikes out swinging.,L,L,BOS,SD,S,2.0,,1,2,-1.36,0.38,-1.11,1.28,,,663853.0,1,8,Bot,,,664954,,-3.35496932202899,-119.031774675085,-2.8156944182113,-12.385647453813,21.7182901053079,-28.2149039452958,3.42,1.62,,,,82.0,2572.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.19,,0.0,0.0,1.0,0.0,0.0,,72,4,1,11,1,11,11,1,1,11,Infield shade,Standard,285.0,0.0,-0.215,66.0396583639018,8.59962
SI,2024-06-29,93.2,1.31,5.34,"Abreu, Wilyer",677800,656354,,ball,11.0,Wilyer Abreu strikes out swinging.,L,L,BOS,SD,B,,,0,2,0.88,0.7,-0.9,2.7,,,663853.0,1,8,Bot,,,664954,,-7.62057404216031,-135.659607624816,-2.59463469322199,12.490244054185,27.4849071350348,-23.131890320895,3.28,1.58,,,,93.6,2364.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.18,,,,,,,,72,3,1,11,1,11,11,1,1,11,Infield shade,Standard,139.0,0.0,0.019,,
ST,2024-06-29,82.3,1.41,5.12,"Abreu, Wilyer",677800,656354,,called_strike,11.0,Wilyer Abreu strikes out swinging.,L,L,BOS,SD,S,,,0,1,-1.14,0.46,-1.01,2.81,,,663853.0,1,8,Bot,,,664954,,-3.27106263013088,-119.955428979724,0.337543921482584,-10.4917339517202,21.8663143736714,-28.0097313802025,3.34,1.58,,,,82.5,2591.0,6.2,746940,650333,630105,642180,673490,444482,701538,669369,54.33,,,,,,,,72,2,1,11,1,11,11,1,1,11,Infield shade,Standard,273.0,0.0,-0.057,,
SI,2024-06-29,93.9,1.31,5.32,"Abreu, Wilyer",677800,656354,,called_strike,13.0,Wilyer Abreu strikes out swinging.,L,L,BOS,SD,S,,,0,0,1.09,0.74,-0.95,1.95,,,663853.0,1,8,Bot,,,664954,,-8.28950379687861,-136.626681604938,-4.7278278162873,15.3927046824481,26.1294298121151,-22.0192334615415,3.44,1.66,,,,94.7,2380.0,6.5,746940,650333,630105,642180,673490,444482,701538,669369,54.01,,,,,,,,72,1,1,11,1,11,11,1,1,11,Infield shade,Standard,137.0,0.0,-0.04,,
FC,2024-06-29,89.0,1.26,5.36,"Gonzalez, Romy",663853,656354,hit_by_pitch,hit_by_pitch,13.0,Romy Gonzalez hit by pitch.,R,L,BOS,SD,B,,,0,0,-0.17,0.96,-2.93,2.1,,,,1,8,Bot,,,664954,,-9.92424228567691,-129.364903755133,-4.06492249375586,-0.198878476138716,22.7612744674907,-20.6711525423724,3.53,1.71,,,,89.6,2681.0,6.4,746940,650333,630105,642180,673490,444482,701538,669369,54.14,,0.722745,0.7,1.0,0.0,0.0,,71,1,1,11,1,11,11,1,1,11,Standard,Standard,161.0,0.0,0.27,,
SI,2024-06-29,94.3,1.35,5.39,"Rafaela, Ceddanne",678882,656354,field_out,hit_into_play,5.0,"Ceddanne Rafaela grounds out, shortstop Ha-Seong Kim to first baseman Luis Arraez.",R,L,BOS,SD,X,6.0,ground_ball,0,2,1.33,0.37,-0.22,2.2,,,,0,8,Bot,108.42,156.65,664954,,-7.0508617894466,-137.266888776099,-3.46199158229857,18.3792158362806,28.121632515737,-26.9056519270436,3.25,1.53,5.0,87.9,-21.0,94.6,2405.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.23,0.114,0.132,0.0,1.0,0.0,0.0,2.0,70,5,1,11,1,11,11,1,1,11,Standard,Standard,136.0,0.0,-0.147,71.2342598317229,6.73892
ST,2024-06-29,83.5,1.46,5.28,"Rafaela, Ceddanne",678882,656354,,foul,13.0,"Ceddanne Rafaela grounds out, shortstop Ha-Seong Kim to first baseman Luis Arraez.",R,L,BOS,SD,S,,,0,2,-1.41,0.62,-1.4,1.94,,,,0,8,Bot,,,664954,,-3.79987005525908,-121.563700302401,-2.45242539672578,-13.2213906880156,24.1922946809968,-25.8028066497524,3.25,1.53,8.0,86.7,-15.0,83.3,2691.0,6.2,746940,650333,630105,642180,673490,444482,701538,669369,54.34,,,,,,,,70,4,1,11,1,11,11,1,1,11,Standard,Standard,241.0,0.0,0.0,73.7147332180634,8.48645
FC,2024-06-29,88.9,1.37,5.49,"Rafaela, Ceddanne",678882,656354,,foul,7.0,"Ceddanne Rafaela grounds out, shortstop Ha-Seong Kim to first baseman Luis Arraez.",R,L,BOS,SD,S,,,0,2,-0.27,0.58,-0.81,1.89,,,,0,8,Bot,,,664954,,-4.77439779901839,-129.620540664563,-4.14820993963629,-2.30010431215694,20.6432781211497,-24.9867756042803,3.25,1.53,182.0,99.9,12.0,89.7,2720.0,6.2,746940,650333,630105,642180,673490,444482,701538,669369,54.34,,,,,,,,70,3,1,11,1,11,11,1,1,11,Standard,Standard,171.0,0.0,0.0,71.9722956341989,7.92226
FC,2024-06-29,89.9,1.44,5.4,"Rafaela, Ceddanne",678882,656354,,foul,4.0,"Ceddanne Rafaela grounds out, shortstop Ha-Seong Kim to first baseman Luis Arraez.",R,L,BOS,SD,S,,,0,1,-0.4,0.77,-0.45,2.27,,,,0,8,Bot,,,664954,,-3.84605353810602,-130.996580206222,-3.49169639213001,-3.86761209436459,24.5324887205576,-22.7367441550937,3.25,1.53,5.0,81.1,-26.0,90.0,2659.0,6.0,746940,650333,630105,642180,673490,444482,701538,669369,54.45,,,,,,,,70,2,1,11,1,11,11,1,1,11,Standard,Standard,165.0,0.0,-0.047,71.9175036392957,7.89061
FC,2024-06-29,88.8,1.37,5.42,"Rafaela, Ceddanne",678882,656354,,swinging_strike,11.0,"Ceddanne Rafaela grounds out, shortstop Ha-Seong Kim to first baseman Luis Arraez.",R,L,BOS,SD,S,,,0,0,-0.16,0.93,-1.9,2.87,,,,0,8,Bot,,,664954,,-7.68827792580647,-129.287353134867,-2.23538558730335,-0.489542797523013,21.841346304179,-21.4240216062799,3.25,1.53,,,,89.5,2599.0,6.3,746940,650333,630105,642180,673490,444482,701538,669369,54.25,,,,,,,,70,1,1,11,1,11,11,1,1,11,Standard,Standard,160.0,0.0,-0.033,71.5067536375021,8.31168
